Company,Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
AKDITAL,31/03/2026,AKDITAL,AKT,1130.0,1110.0,1130.0,1110.0,1703,1907197.0,136,15716719770.0
AKDITAL,30/03/2026,AKDITAL,AKT,1149.0,1130.0,1149.0,1130.0,1782,2030485.0,145,15999903910.0
AKDITAL,27/03/2026,AKDITAL,AKT,1130.0,1141.0,1165.0,1126.0,20717,23733277.0,349,16155655187.0
AKDITAL,26/03/2026,AKDITAL,AKT,1120.0,1130.0,1135.0,1117.0,16730,18844620.0,261,15999903910.0
AKDITAL,25/03/2026,AKDITAL,AKT,1107.0,1118.0,1120.0,1105.0,13018,14500979.0,187,15829993426.0
AKDITAL,24/03/2026,AKDITAL,AKT,1100.0,1101.0,1110.0,1090.0,14777,16245607.0,263,15589286907.0
ARADEI CAPITAL,09/04/2026,ARADEI CAPITAL,ARD,419.0,415.1,427.0,415.05,876,366782.35,40,5217030763.0
ARADEI CAPITAL,08/04/2026,ARADEI CAPITAL,ARD,419.0,413.0,419.0,412.0,7136,2960131.2,135,5190637690.0
ARADEI CAPITAL,07/04/2026,ARADEI CAPITAL,ARD,418.9,415.0,419.5,415.0,193,80406.9,29,5215773950.0
ARADEI CAPITAL,06/04/2026,ARADEI CAPITAL,ARD,419.7,418.0,419.9,410.0,161,67357.5,21,5253478340.0
ARADEI CAPITAL,03/04/2026,ARADEI CAPITAL,ARD,420.0,405.0,420.0,405.0,5227,2137090.45,171,5090092650.0
ARADEI CAPITAL,02/04/2026,ARADEI CAPITAL,ARD,418.95,418.0,418.95,412.1,289,120797.2,42,5253478340.0
ARADEI CAPITAL,01/04/2026,ARADEI CAPITAL,ARD,417.9,417.0,421.9,408.3,24113,9892795.75,62,5240910210.0
ARADEI CAPITAL,31/03/2026,ARADEI CAPITAL,ARD,415.0,404.95,419.8,404.95,2463,999744.25,143,5089464243.5
ARADEI CAPITAL,30/03/2026,ARADEI CAPITAL,ARD,425.0,415.0,425.0,411.1,906,380775.7,71,5215773950.0
ARADEI CAPITAL,27/03/2026,ARADEI CAPITAL,ARD,434.7,401.0,434.7,401.0,10138,4069507.3,201,5039820130.0
ARADEI CAPITAL,26/03/2026,ARADEI CAPITAL,ARD,431.5,420.0,435.0,420.0,2856,1200954.4,106,5278614600.0
ARADEI CAPITAL,25/03/2026,ARADEI CAPITAL,ARD,427.1,430.0,435.0,427.1,153,65827.5,18,5404295900.0
ARADEI CAPITAL,24/03/2026,ARADEI CAPITAL,ARD,436.0,431.5,446.0,430.0,13658,5942116.65,47,5423148095.0
ALUMINIUM DU MAROC,09/04/2026,ALUMINIUM DU MAROC,ALM,1800.0,1820.0,1820.0,1800.0,30,54580.0,7,848036280.0
ALUMINIUM DU MAROC,08/04/2026,ALUMINIUM DU MAROC,ALM,1794.0,1820.0,1820.0,1794.0,167,300113.0,15,848036280.0
ALUMINIUM DU MAROC,07/04/2026,ALUMINIUM DU MAROC,ALM,-,1796.0,-,-,-,-,-,836853384.0
ALUMINIUM DU MAROC,06/04/2026,ALUMINIUM DU MAROC,ALM,1795.0,1796.0,1796.0,1795.0,16,28731.0,5,836853384.0
ALUMINIUM DU MAROC,03/04/2026,ALUMINIUM DU MAROC,ALM,1793.0,1793.0,1793.0,1793.0,5,8965.0,2,835455522.0
ALUMINIUM DU MAROC,02/04/2026,ALUMINIUM DU MAROC,ALM,1800.0,1800.0,1800.0,1800.0,26,46800.0,6,838717200.0
